datatype,participant,condition,time,diff,mean
Amount,3015,rest,later,prepost,37.5
Amount,3017,exercise,now,prepost,-93.75
Amount,3017,exercise,later,prepost,-75
Amount,3017,rest,now,prepost,18.75
Amount,3017,rest,later,prepost,0
Amount,3018,exercise,now,prepost,75
Amount,3018,exercise,later,prepost,18.75
Amount,3018,rest,now,prepost,93.75
Amount,3018,rest,later,prepost,0
Amount,3019,exercise,now,prepost,56.25
Amount,3019,exercise,later,prepost,56.25
Amount,3019,rest,now,prepost,18.75
Amount,3019,rest,later,prepost,0
Amount,3021,exercise,now,prepost,-93.75
Amount,3021,exercise,later,prepost,0
Amount,3021,rest,now,prepost,-37.5
Amount,3021,rest,later,prepost,-18.75
Amount,3024,exercise,now,prepost,93.75
Amount,3024,exercise,later,prepost,37.5
Amount,3024,rest,now,prepost,37.5
Amount,3024,rest,later,prepost,0
Amount,5,exercise,now,prepost30,150
Amount,5,exercise,later,prepost30,75
Amount,5,rest,now,prepost30,75
Amount,5,rest,later,prepost30,75
Amount,11,exercise,now,prepost30,206.25
Amount,11,exercise,later,prepost30,131.25
Amount,11,rest,now,prepost30,131.25
Amount,11,rest,later,prepost30,0
Amount,12,exercise,now,prepost30,131.25
Amount,12,exercise,later,prepost30,-56.25
Amount,12,rest,now,prepost30,112.5
Amount,12,rest,later,prepost30,0
Amount,14,exercise,now,prepost30,37.5
Amount,14,exercise,later,prepost30,18.75
Amount,14,rest,now,prepost30,150
Amount,14,rest,later,prepost30,0
Amount,16,exercise,now,prepost30,56.25
Amount,16,exercise,later,prepost30,0
Amount,16,rest,now,prepost30,56.25
Amount,16,rest,later,prepost30,-93.75
Amount,17,exercise,now,prepost30,75
Amount,17,exercise,later,prepost30,-56.25
Amount,17,rest,now,prepost30,56.25
Amount,17,rest,later,prepost30,-75
Amount,19,exercise,now,prepost30,75
Amount,19,exercise,later,prepost30,0
Amount,19,rest,now,prepost30,56.25
Amount,19,rest,later,prepost30,18.75
Amount,20,exercise,now,prepost30,56.25
Amount,20,exercise,later,prepost30,-56.25
Amount,20,rest,now,prepost30,37.5
Amount,20,rest,later,prepost30,18.75
Amount,22,exercise,now,prepost30,-18.75
Amount,22,exercise,later,prepost30,75
Amount,22,rest,now,prepost30,18.75
Amount,22,rest,later,prepost30,0
Amount,23,exercise,now,prepost30,168.75
Amount,23,exercise,later,prepost30,75
Amount,23,rest,now,prepost30,187.5
Amount,23,rest,later,prepost30,-37.5
Amount,24,exercise,now,prepost30,168.75
Amount,24,exercise,later,prepost30,56.25
Amount,24,rest,now,prepost30,37.5
Amount,24,rest,later,prepost30,75
Amount,25,exercise,now,prepost30,18.75
Amount,25,exercise,later,prepost30,18.75
Amount,25,rest,now,prepost30,112.5
Amount,25,rest,later,prepost30,112.5
Amount,28,exercise,now,prepost30,75
Amount,28,exercise,later,prepost30,56.25
Amount,28,rest,now,prepost30,-18.75
Amount,28,rest,later,prepost30,18.75
Amount,29,exercise,now,prepost30,56.25
Amount,29,exercise,later,prepost30,-18.75
Amount,29,rest,now,prepost30,-37.5
Amount,29,rest,later,prepost30,-75
Amount,30,exercise,now,prepost30,168.75
Amount,30,exercise,later,prepost30,18.75
Amount,30,rest,now,prepost30,93.75
Amount,30,rest,later,prepost30,0
Amount,31,exercise,now,prepost30,93.75
Amount,31,exercise,later,prepost30,-18.75
Amount,31,rest,now,prepost30,-37.5
Amount,31,rest,later,prepost30,-93.75
Amount,32,exercise,now,prepost30,131.25
Amount,32,exercise,later,prepost30,56.25
Amount,32,rest,now,prepost30,112.5
Amount,32,rest,later,prepost30,37.5
Amount,33,exercise,now,prepost30,168.75
Amount,33,exercise,later,prepost30,0
Amount,33,rest,now,prepost30,112.5
Amount,33,rest,later,prepost30,37.5
Amount,34,exercise,now,prepost30,75
Amount,34,exercise,later,prepost30,-18.75
Amount,34,rest,now,prepost30,-75
Amount,34,rest,later,prepost30,-93.75
Amount,36,exercise,now,prepost30,75
Amount,36,exercise,later,prepost30,18.75
Amount,36,rest,now,prepost30,93.75
Amount,36,rest,later,prepost30,37.5
Amount,37,exercise,now,prepost30,112.5
Amount,37,exercise,later,prepost30,75
Amount,37,rest,now,prepost30,18.75
Amount,37,rest,later,prepost30,0
Amount,38,exercise,now,prepost30,-93.75
Amount,38,exercise,later,prepost30,0
Amount,38,rest,now,prepost30,-56.25
Amount,38,rest,later,prepost30,-131.25
Amount,39,exercise,now,prepost30,112.5
Amount,39,exercise,later,prepost30,-37.5
Amount,39,rest,now,prepost30,56.25
Amount,39,rest,later,prepost30,37.5
Amount,41,exercise,now,prepost30,56.25
Amount,41,exercise,later,prepost30,56.25
Amount,41,rest,now,prepost30,0
Amount,41,rest,later,prepost30,0
Amount,42,exercise,now,prepost30,0
Amount,42,exercise,later,prepost30,-56.25
Amount,42,rest,now,prepost30,56.25
Amount,42,rest,later,prepost30,75
Amount,44,exercise,now,prepost30,0
Amount,44,exercise,later,prepost30,-93.75
Amount,44,rest,now,prepost30,-18.75
Amount,44,rest,later,prepost30,-75
Amount,45,exercise,now,prepost30,18.75
Amount,45,exercise,later,prepost30,0
Amount,45,rest,now,prepost30,-37.5
Amount,45,rest,later,prepost30,-37.5
Amount,46,exercise,now,prepost30,187.5
Amount,46,exercise,later,prepost30,56.25
Amount,46,rest,now,prepost30,0
Amount,46,rest,later,prepost30,0
Amount,3007,exercise,now,prepost30,150
Amount,3007,exercise,later,prepost30,37.5
Amount,3007,rest,now,prepost30,56.25
Amount,3007,rest,later,prepost30,-37.5
Amount,3008,exercise,now,prepost30,56.25
Amount,3008,exercise,later,prepost30,56.25
Amount,3008,rest,now,prepost30,37.5
Amount,3008,rest,later,prepost30,-18.75
Amount,3009,exercise,now,prepost30,112.5
Amount,3009,exercise,later,prepost30,93.75
Amount,3009,rest,now,prepost30,75
Amount,3009,rest,later,prepost30,37.5
Amount,3010,exercise,now,prepost30,0
Amount,3010,exercise,later,prepost30,-56.25
Amount,3010,rest,now,prepost30,56.25
Amount,3010,rest,later,prepost30,-18.75
Amount,3011,exercise,now,prepost30,0
Amount,3011,exercise,later,prepost30,-93.75
Amount,3011,rest,now,prepost30,0
Amount,3011,rest,later,prepost30,-37.5
